,Dept,Size,IsHoliday,MarkDown3,Month,A,B,C
0,93,93188,False,0.0,1,0,1,0
1,17,112238,False,0.0,1,0,1,0
2,25,37392,False,0.0,1,0,1,0
3,1,39690,False,0.0,1,0,0,1
4,9,152513,False,0.0,1,1,0,0
5,60,34875,False,0.0,1,0,1,0
6,72,158114,False,0.0,1,1,0,0
7,16,140167,False,0.0,1,0,1,0
8,17,140167,False,0.0,1,0,1,0
9,36,202307,False,0.0,1,1,0,0
10,31,196321,False,0.0,1,1,0,0
11,60,125833,False,0.0,1,0,1,0
12,8,140167,False,0.0,1,0,1,0
13,87,152513,False,0.0,1,1,0,0
14,52,126512,False,0.0,1,0,1,0
15,85,123737,False,0.0,1,0,1,0
16,8,34875,False,0.0,1,0,1,0
17,16,93188,False,0.0,1,0,1,0
18,16,39910,False,0.0,1,0,0,1
19,21,158114,False,0.0,1,1,0,0
20,31,114533,False,0.0,1,0,1,0
21,87,57197,False,0.0,1,0,1,0
22,4,93188,False,0.0,1,0,1,0
23,46,184109,False,0.0,1,1,0,0
24,80,184109,False,0.0,1,1,0,0
25,2,39690,False,0.0,1,0,0,1
26,7,41062,False,0.0,1,0,0,1
27,12,126512,False,0.0,1,0,1,0
28,32,114533,False,0.0,1,0,1,0
29,91,93638,False,0.0,1,0,1,0
30,32,203750,False,0.0,1,1,0,0
31,92,39690,False,0.0,1,0,0,1
32,42,39690,False,0.0,1,0,0,1
33,96,39690,False,0.0,1,0,0,1
34,37,126512,False,0.0,1,0,1,0
35,8,202505,False,0.0,1,1,0,0
36,71,158114,False,0.0,1,1,0,0
37,71,152513,False,0.0,1,1,0,0
38,11,155083,False,0.0,1,1,0,0
39,42,103681,False,0.0,1,0,1,0
40,83,123737,False,0.0,1,0,1,0
41,74,34875,False,0.0,1,0,1,0
42,79,203750,False,0.0,1,1,0,0
43,41,203750,False,0.0,1,1,0,0
44,46,196321,False,0.0,1,1,0,0
45,18,126512,False,0.0,1,0,1,0
46,91,118221,False,0.0,1,0,1,0
47,8,155078,False,0.0,1,1,0,0
48,55,196321,False,0.0,1,1,0,0
49,32,158114,False,0.0,1,1,0,0
50,24,196321,False,0.0,1,1,0,0
51,13,126512,False,0.0,1,0,1,0
52,97,158114,False,0.0,1,1,0,0
53,3,39690,False,0.0,1,0,0,1
54,14,93188,False,0.0,1,0,1,0
55,80,203750,False,0.0,1,1,0,0
56,22,203750,False,0.0,1,1,0,0
57,24,118221,False,0.0,1,0,1,0
58,91,119557,False,0.0,1,0,1,0
59,83,204184,False,0.0,1,1,0,0
60,56,219622,False,0.0,1,1,0,0
